Date,Date,TimeDay,TestID,TestID2,TL_mm,mass_mg,Order_fish_flip,tank,temp_tolerance,Test,Tide,Tide2,Phys.cond,treatment,temp_treatment,Field_Lab,Temp_test_start,max.Env.Temp,min.Env.Temp,mean.Env.Temp,delta.T,Stat_Var
11/13/19,13-Nov,7:30:00,lab3,LAB-V2,42,411,18,7,38.06,CTmax,NA,NA,NOTFED,V2,V2,LAB,22.8,33,11,22,22,variable
11/13/19,13-Nov,7:30:00,lab3,LAB-V2,32,173,19,12,38.2,CTmax,NA,NA,NOTFED,V2,V2,LAB,22.8,33,11,22,22,variable
11/13/19,13-Nov,7:30:00,lab3,LAB-V2,41,340,20,7,38.26,CTmax,NA,NA,NOTFED,V2,V2,LAB,22.8,33,11,22,22,variable
11/13/19,13-Nov,7:30:00,lab3,LAB-22,38,247,21,9,38.27,CTmax,NA,NA,NOTFED,MED,22,LAB,22.8,23,21,22,2,static
11/13/19,13-Nov,7:30:00,lab3,LAB-V2,32,142,22,12,38.32,CTmax,NA,NA,NOTFED,V2,V2,LAB,22.8,33,11,22,22,variable
11/13/19,13-Nov,7:30:00,lab3,LAB-V2,42,386,23,7,38.43,CTmax,NA,NA,NOTFED,V2,V2,LAB,22.8,33,11,22,22,variable
11/13/19,13-Nov,7:30:00,lab3,LAB-V2,32,233,24,15,38.44,CTmax,NA,NA,NOTFED,V2,V2,LAB,22.8,33,11,22,22,variable
11/13/19,13-Nov,7:30:00,lab3,LAB-V2,35,202,25,12,38.5,CTmax,NA,NA,NOTFED,V2,V2,LAB,22.8,33,11,22,22,variable
11/13/19,13-Nov,7:30:00,lab3,LAB-V2,32,174,26,12,38.54,CTmax,NA,NA,NOTFED,V2,V2,LAB,22.8,33,11,22,22,variable
11/13/19,13-Nov,7:30:00,lab3,LAB-22,32,170,27,5,38.59,CTmax,NA,NA,NOTFED,MED,22,LAB,22.8,23,21,22,2,static
